name,city,postalCode,address,url,longitude,latitude
Dyrskuepladsen i Skalborg,Aalborg,,Dyrskuepladsen i Skalborg,https://www.ticketmaster.dk/venue/dyrskuepladsen-i-skalborg-aalborg-billetter/c50/203,9.88764,57.00618
Kystvejen mod,Løgstrup,Harrerenden,Kystvejen mod Harrerenden,https://www.ticketmaster.dk/venue/kystvejen-mod-logstrup-billetter/c47/203,9.80649,57.47472
Birkelsevej,Aabybro,9440,Birkelsevej,https://www.ticketmaster.dk/venue/birkelsevej-aabybro-billetter/c49/203,9.72599,57.15626
v/Sportspladsen,Hornslet,8543,v/Sportspladsen,https://www.ticketmaster.dk/venue/v-sportspladsen-hornslet-billetter/c36/203,10.31727,56.3155
Lilleåparken,Hadsten,8370,Lilleåparken,https://www.ticketmaster.dk/venue/lilleaparken-hadsten-billetter/c33/203,10.04776,56.32995
Kasernen/Mariagervej,Randers,8900,Kasernen/Mariagervej,https://www.ticketmaster.dk/venue/kasernen-mariagervej-randers-billetter/c32/203,10.03129,56.46948
v/Rønbækskolen,Hinnerup,8382,v/Rønbækskolen,https://www.ticketmaster.dk/venue/v-ronbaekskolen-hinnerup-billetter/c34/203,10.06338,56.265
Luffes Plads,Nordborg,6430,Luffes plads,https://www.ticketmaster.dk/venue/luffes-plads-nordborg-billetter/c18/203,9.74664,55.05708
Hj. Spangsbjerg Møllevej/Steng..,Esbjerg,,Hj. Spangsbjerg Mølle vej/Stengårdsvej,https://www.ticketmaster.dk/venue/hj-spangsbjerg-mollevej-steng-esbjerg-billetter/c20/203,8.45895,55.4944
Hovedengen,Ribe,6760,Hovedengen,https://www.ticketmaster.dk/venue/hovedengen-ribe-billetter/c19/203,8.76123,55.33144
"Gl, Sportsplads bag Rådhuset",Ry,8680,Gl. Sportsplads bag Rådhuset,https://www.ticketmaster.dk/venue/gl-sportsplads-bag-radhuset-ry-billetter/c26/203,9.76659,56.09067
Ved Hallen,Vinderup,7830,ved Hallen,https://www.ticketmaster.dk/venue/ved-hallen-vinderup-billetter/c23/203,8.78071,56.47859
Dannebrogpladsen,Ulstrup,8866,Dannebrogpladsen,https://www.ticketmaster.dk/venue/dannebrogpladsen-ulstrup-billetter/c25/203,9.79186,56.38884
Ved Safari Caravan,Struer,7600,"Holstebrovej, Gimsing",https://www.ticketmaster.dk/venue/ved-safari-caravan-struer-billetter/c22/203,8.58395,56.47943
Centervej,Lystrup,8520,Centervej,https://www.ticketmaster.dk/venue/centervej-lystrup-billetter/c41/203,10.23357,56.23656
Byparken,Auning,8963,Byparken,https://www.ticketmaster.dk/venue/byparken-auning-billetter/c38/203,-70.80388,43.97034
Strandvejen,Ebeltoft,8400,Strandvejen,https://www.ticketmaster.dk/venue/festpladsen-v-strandvejen-ebeltoft-billetter/c40/203,10.67431,56.19737
Gl. Sporstplads,Ørsted,8950,Gl. Sportsplads,https://www.ticketmaster.dk/venue/gl-sporstplads-rsted-billetter/c37/203,10.33593,56.50173
Cirkuspladsen,Kolind,8560,Cirkuspladsen,https://www.ticketmaster.dk/venue/cirkuspladsen-kolind-billetter/c39/203,9.556,56.102
Ved Rådhuset,Hirtshals,,Ved Rådhuset,https://www.ticketmaster.dk/venue/ved-radhuset-hirtshals-billetter/c46/203,9.96684,57.58695
v/Skolen,Storvorde,9280,v/Skolen,https://www.ticketmaster.dk/venue/v-skolen-storvorde-billetter/c43/203,10.26999,56.97421
Ved Klitgården,Bindslev,,Ved Klitgården Tversted/Tannisby,https://www.ticketmaster.dk/venue/ved-klitgarden-bindslev-billetter/c45/203,10.19923,57.54157
Markedpladsen,Brønderslev,9700,Markedpladsen,https://www.ticketmaster.dk/venue/markedpladsen-bronderslev-billetter/c42/203,9.94517,57.2709
Buttervej,Skagen,,Buttervej,https://www.ticketmaster.dk/venue/buttervej-skagen-billetter/c44/203,10.56911,57.72845
Tvedvej,Kolding,6000,Sydhavnen,https://www.ticketmaster.dk/venue/tvedvej-kolding-billetter/c16/203,9.47305,55.49597
Telemarken,Faaborg,5600,Telemarken,https://www.ticketmaster.dk/venue/telemarken-faaborg-billetter/c13/203,10.22786,55.10943
Cirkuspladsen,Vejen,6600,Cirkuspladsen,https://www.ticketmaster.dk/venue/cirkuspladsen-vejen-billetter/c15/203,9.138,55.47922
Dyrskuepladsen,Ringe,5750,Dyrskuepladsen,https://www.ticketmaster.dk/venue/dyrskuepladsen-ringe-billetter/c12/203,10.47969,55.23615
