"","name","city","postalCode","address","url","longitude","latitude"
"6291","Clubhaus des BB19","Frankfurt am Main",60599,"Im Eichlehen","https://www.ticketmaster.de/venue/clubhaus-des-bb19-frankfurt-am-main-tickets/famclubhau/701",8.7401,50.09868
"6292","Holiday Inn Hotel Frankfurt City","Frankfurt am Main",60598,"Mailänderr Straße 1","https://www.ticketmaster.de/venue/holiday-inn-hotel-frankfurt-city-frankfurt-am-main-tickets/famholiday/701",8.69077,50.09155
"6293","Dreikönigskirche","Frankfurt am Main",60594,"Dreikönigsstraße 32","https://www.ticketmaster.de/venue/dreikonigskirche-frankfurt-am-main-tickets/famdreikoe/701",8.68503,50.10696
"6294","Stadtkirche St. Marien","Bad Homburg vor der Höhe",61348,"Dorotheenstraße 13","https://www.ticketmaster.de/venue/stadtkirche-st-marien-bad-homburg-vor-der-hohe-tickets/bhostadtki/701",8.61366,50.22644
"6295","Bürgerhaus","Usingen",61250,"Schulstraße","https://www.ticketmaster.de/venue/burgerhaus-usingen-tickets/usibuerger/701",8.54056,50.35387
"6296","Kurtheater","Bad Homburg vor der Höhe",61348,"Louisenstraße 58","https://www.ticketmaster.de/venue/kurtheater-bad-homburg-vor-der-hohe-tickets/bhokurthea/701",8.61671,50.22716
"6297","Restaurant King Creole","Frankfurt am Main",60435,"Eckenheimer Landstraße 346","https://www.ticketmaster.de/venue/restaurant-king-creole-frankfurt-am-main-tickets/famrestukc/701",8.68071,50.14954
"6298","Stadion am Ginnheimer Wäldchen","Frankfurt am Main",60431,"Am Ginnheimer Wäldchen 4","https://www.ticketmaster.de/venue/stadion-am-ginnheimer-waldchen-frankfurt-am-main-tickets/famstadgin/701",8.63803,50.14068
"6299","Elfer","Frankfurt am Main",60594,"Klappergasse 5-7","https://www.ticketmaster.de/venue/elfer-frankfurt-am-main-tickets/famelfer/701",8.69128,50.10513
"6300","Festzelt Woogwiese","Frankfurt am Main",60431,"Woogwiese","https://www.ticketmaster.de/venue/festzelt-woogwiese-frankfurt-am-main-tickets/famfestwoo/701",8.77959,50.12143
"6301","Stadthalle","Friedberg",61169,"Am Seebach 2","https://www.ticketmaster.de/venue/stadthalle-friedberg-tickets/frbstadtha/701",8.74518,50.33435
"6302","Die Halle","Frankfurt am Main",60386,"Wächtersbacher Straße 84","https://www.ticketmaster.de/venue/die-halle-frankfurt-am-main-tickets/famdiehall/701",8.74512,50.13223
"6303","Spiegelpalast an der Eissporthal","Frankfurt am Main",60386,"Am Bornheimer Hang 4","https://www.ticketmaster.de/venue/spiegelpalast-an-der-eissporthal-frankfurt-am-main-tickets/famspiegel/701",8.72114,50.12539
"6304","Stadthalle am Schloss","Aschaffenburg",63739,"Schlossplatz 1","https://www.ticketmaster.de/venue/stadthalle-am-schloss-aschaffenburg-tickets/ascstadtha/701",9.14413,49.97655
"6305","Willi-Zinnkann-Halle","Büdingen",63654,"Eberhard-Bauner-Allee 16","https://www.ticketmaster.de/venue/willi-zinnkann-halle-budingen-tickets/bigwillyzi/701",9.10834,50.28963
"6306","Sport und Kulturhalle","Gelnhausen",63571,"Am Viadukt","https://www.ticketmaster.de/venue/sport-und-kulturhalle-gelnhausen-tickets/gehsportun/701",9.13784,50.17985
"6307","Kulturhalle","Rödermark",63322,"Dieburger Straße 27","https://www.ticketmaster.de/venue/kulturhalle-rodermark-tickets/roekulturh/701",8.82813,49.97597
"6308","Halle 2","Hanau",63457,"Josef-Bautz-Straße 6","https://www.ticketmaster.de/venue/halle-2-hanau-tickets/hnahallezw/701",8.93171,50.10857
"6309","Olof Palme Haus","Hanau",63454,"Pfarrer-Hufnagel-Straße 2","https://www.ticketmaster.de/venue/olof-palme-haus-hanau-tickets/haaolofpal/701",8.89825,50.12985
"6310","Amphitheater","Hanau",63454,"Schloss Philippsruhe","https://www.ticketmaster.de/venue/amphitheater-hanau-tickets/hnaamphith/701",8.89148,50.16803
"6311","Kulturbühne TaKuZAK","Altenstadt",63674,"Obergasse 28","https://www.ticketmaster.de/venue/kulturbuhne-takuzak-altenstadt-tickets/alskulturb/701",8.94051,50.2872
"6312","Parksaal","Nidda",63667,"Im Park","https://www.ticketmaster.de/venue/parksaal-nidda-tickets/bszparksaa/701",8.98209,50.41698
"6313","Evangelische Kirche","Nidda",63667,NA,"https://www.ticketmaster.de/venue/evangelische-kirche-nidda-tickets/nddevangel/701",9.010328,50.413046
"6314","Festivalgelände","Schotten",63679,"Rainrod","https://www.ticketmaster.de/venue/festivalgelande-schotten-tickets/sttfestiva/701",9.07694,50.47139
"6315","Christuskirche","Aschaffenburg",63739,"Dinglerstraße 11","https://www.ticketmaster.de/venue/christuskirche-aschaffenburg-tickets/ascchristu/701",9.15256,49.97332
"6316","Bürgerhaus","Dietzenbach",63128,"Offenbacher Straße 11","https://www.ticketmaster.de/venue/burgerhaus-dietzenbach-tickets/dizbuerger/701",8.78274,50.0189
"6317","Strandbad","Großkrotzenburg",63538,"Bahnhofstraße 4","https://www.ticketmaster.de/venue/strandbad-grosskrotzenburg-tickets/gkbstrandb/701",8.98085,50.08144
"6318","Sparda-Bank-Hessen-Stadion","Offenbach am Main",63071,"Waldemar-Klein-Platz 1","https://www.ticketmaster.de/venue/sparda-bank-hessen-stadion-offenbach-am-main-tickets/oamkickers/701",8.79912,50.09453
"6319","King Kamehameha Beach Club","Offenbach am Main",63065,"Hafeninsel 2","https://www.ticketmaster.de/venue/king-kamehameha-beach-club-offenbach-am-main-tickets/oamkingkam/701",8.7551,50.1127
"6320","Golden Tulip Hotel Frankfurt Off","Offenbach am Main",63067,"Kaiserlei 45","https://www.ticketmaster.de/venue/golden-tulip-hotel-frankfurt-off-offenbach-am-main-tickets/oamgoldent/701",8.73141,50.10817
"6321","E-Werk","Saarbrücken",66115,"Dr.-Tietz-Straße 14","https://www.ticketmaster.de/venue/e-werk-saarbrucken-tickets/saaewerk/701",6.95806,49.23807
"6322","Konzert Kino Valentin","Frankfurt am Main",65929,"Windthorststraße 84","https://www.ticketmaster.de/venue/konzert-kino-valentin-frankfurt-am-main-tickets/famkinoval/701",8.54915,50.11211
